viral_id	virus_label	K	universe_n	hit_n	topK_in_universe_n	overlap_n	expected_overlap	odds_ratio	p_hypergeom
P03279	Adenovirus	200	732	2	122	2	0.3333	inf	0.028
P0DTC2	SARS-CoV-2	200	1220	1205	123	123	121.4877	inf	0.201
Q6Q1S2	HCoV-NL63	200	1202	1199	128	128	127.6805	inf	0.713
Q05320	Ebola	200	1207	69	142	10	8.1176	1.2917	0.287
P03138	HBV	200	859	16	96	2	1.7881	1.1383	0.55
K9N5Q8	MERS-CoV	200	1210	45	129	5	4.7975	1.0494	0.534
P04578	HIV-1	200	1187	113	130	12	12.3757	0.9626	0.597
P03188	EBV	200	1215	537	145	61	64.0864	0.9062	0.738
P29991	Dengue	200	1225	188	144	20	22.0996	0.8765	0.735
P26664	HCV	200	1212	25	111	2	2.2896	0.86	0.684
P16730	CMV	200	1208	10	141	1	1.1672	0.8397	0.712
Q32ZE1	Zika	200	1210	177	145	18	21.2107	0.8076	0.823
P15423	HCoV-229E	200	1211	1200	134	132	132.7828	0.5562	0.887
P0C6X7	SARS-CoV	200	1211	83	137	4	9.3898	0.3788	0.99
P05777	Influenza A	200	1190	89	139	3	10.3958	0.2475	0.999
P03421	RSV	200	1170	13	143	0	1.5889	0.0	1.0
