viral_id	virus_label	K	n_studies_raw	n_studies_leakage_removed	overlap_total_raw	overlap_total_leakage_removed	overlap_drop_abs	overlap_drop_ratio	overlap_retain_ratio	p_meta_fisher_raw	p_meta_fisher_leakage_removed	p_meta_ratio_leak_over_raw	fdr_meta_fisher_raw	fdr_meta_fisher_leakage_removed	p_min_raw	p_min_leakage_removed	fdr_min_raw	fdr_min_leakage_removed	sig_rows_raw	sig_rows_leakage_removed	meta_sig_raw_fdr05	meta_sig_leakage_removed_fdr05
K9N5Q8	MERS-CoV	10	5	5	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
K9N5Q8	MERS-CoV	20	5	5	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
K9N5Q8	MERS-CoV	50	5	5	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
K9N5Q8	MERS-CoV	100	5	5	1.0	1.0	0.0	0.0	1.0	0.9999983473728498	0.9999983473728498	1.0	1.0	1.0	0.8290250380789567	0.8290250380789567	1.0	1.0	0	0	0	0
P03275	Adenovirus	10	2	2	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
P03275	Adenovirus	20	2	2	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
P03275	Adenovirus	50	2	2	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
P03275	Adenovirus	100	2	2	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
P03423	RSV	10	1	1	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
P03423	RSV	20	1	1	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
P03423	RSV	50	1	1	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
P03423	RSV	100	1	1	1.0	1.0	0.0	0.0	1.0	0.4546424278622888	0.4546424278622888	1.0	1.0	1.0	0.45464242786228876	0.45464242786228876	0.45464242786228876	0.45464242786228876	0	0	0	0
P04578	HIV-1	10	9	9	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
P04578	HIV-1	20	9	9	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
P04578	HIV-1	50	9	9	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
P04578	HIV-1	100	9	9	3.0	3.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
P0C6X7	SARS-CoV	10	8	8	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
P0C6X7	SARS-CoV	20	8	8	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
P0C6X7	SARS-CoV	50	8	8	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
P0C6X7	SARS-CoV	100	8	8	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
P0DTC2	SARS-CoV-2	10	63	63	12.0	12.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.08401212874231584	0.08401212874231584	1.0	1.0	0	0	0	0
P0DTC2	SARS-CoV-2	20	63	63	22.0	22.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.04165960030671777	0.04165960030671777	1.0	1.0	0	0	0	0
P0DTC2	SARS-CoV-2	50	63	63	51.0	51.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.04079898566791246	0.04079898566791246	1.0	1.0	0	0	0	0
P0DTC2	SARS-CoV-2	100	63	63	98.0	98.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.08074826906353516	0.08074826906353516	1.0	1.0	0	0	0	0
P15423	HCoV-229E	10	10	10	18.0	9.0	9.0	0.5	0.5	3.4863767595571135e-08	0.704794057389858	20215659.580044653	1.812915914969699e-06	1.0	3.915759679387916e-05	0.0012157738609596118	0.0003915759679387916	0.012157738609596118	6	1	1	0
P15423	HCoV-229E	20	10	10	27.0	18.0	9.0	0.3333333333333333	0.6666666666666666	1.1032776963753694e-07	0.3460441114476427	3136509.625677303	2.8685220105759605e-06	1.0	6.888668152638913e-05	0.0010061261951541097	0.0006888668152638913	0.010061261951541096	5	1	1	0
P15423	HCoV-229E	50	10	10	51.0	42.0	9.0	0.17647058823529413	0.8235294117647058	8.195693956855347e-05	0.6704374865818074	8180.362640567065	0.0014205869525215934	1.0	0.007967846373292583	0.035539426720397733	0.051216389244558264	0.3553942672039773	0	0	1	0
P15423	HCoV-229E	100	10	10	91.0	82.0	9.0	0.0989010989010989	0.9010989010989011	0.018460063610080048	0.9636086645778801	52.19963944499656	0.23998082693104061	1.0	0.02052502229846282	0.08206656951047452	0.149789029535865	0.7499376533449538	0	0	0	0
P26664	HCV	10	3	3	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
P26664	HCV	20	3	3	0.0	0.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0
