diagnostic	scope	MRR	Recall@10	Recall@20	note
strict family-held-out retraining	38-virus taxon-held-out retraining, ranker only, n_seeds=3	0.3412 +/- 0.0004	0.6491 +/- 0.0328	0.7368 +/- 0.0215	stronger extrapolation diagnostic than post-hoc family slices; dynamic prior was not applied in this retraining series
strict genus-held-out retraining	38-virus taxon-held-out retraining, ranker only, n_seeds=3	0.3397 +/- 0.0087	0.6404 +/- 0.0248	0.7368 +/- 0.0215	stronger extrapolation diagnostic than post-hoc family slices; dynamic prior was not applied in this retraining series
standard 38-virus reference	38-virus leave-one-virus-out, single seed	0.3972	0.6316	0.7895	standard single-seed reference
family-drop stress test, p=0.3	38-virus leave-one-virus-out, single seed	0.3994	0.6579	0.7895	family-drop/homology-stress diagnostic; compare within single-seed stress tests only
family-drop stress test, p=0.5	38-virus leave-one-virus-out, single seed	0.3990	0.6579	0.7895	family-drop/homology-stress diagnostic; compare within single-seed stress tests only
pre-existing-virus subset	31 viruses; families=Coronaviridae,Filoviridae,Flaviviridae,Hepadnaviridae,Herpesviridae,Orthomyxoviridae,Papillomaviridae,Parvoviridae,Picornaviridae,Pneumoviridae,Polyomaviridae,Poxviridae,Retroviridae,Rhabdoviridae	0.4812	0.7742	0.8602	post-hoc family novelty slice, not a retrained leave-one-family-out model
new-virus subset	7 viruses; families=Adenoviridae,Arenaviridae,Filoviridae,Flaviviridae,Togaviridae	0.0462	0.0952	0.1905	post-hoc family novelty slice, not a retrained leave-one-family-out model
new-virus subset_seenFamily	2 viruses; families=Filoviridae,Flaviviridae	0.1078	0.3333	0.5000	post-hoc family novelty slice, not a retrained leave-one-family-out model
new-virus subset_novelFamily	5 viruses; families=Adenoviridae,Arenaviridae,Togaviridae	0.0215	0.0000	0.0667	post-hoc family novelty slice, not a retrained leave-one-family-out model
LOFO family (explicitmap)	original 31-virus taxon-holdout, n_seeds=3	0.4818	0.9032		strict taxon-holdout diagnostic on original 31-virus scope; do not mix absolute values with LOVO38 main benchmark
LOFO genus (explicitmap)	original 31-virus taxon-holdout, n_seeds=3	0.4751	0.8817		strict taxon-holdout diagnostic on original 31-virus scope; do not mix absolute values with LOVO38 main benchmark
