viral_id	virus_label	receptor_uniprot	receptor_name	rank	score	in_top10	is_known_receptor_flag	mechanism	pmid	note
P0DTC2	SARS-CoV-2	Q9BYF1	ACE2	1	1.894220232963562	1	1	Primary receptor	32142651	Highlighted main biological-credibility example; ACE2 standard UniProt is Q9BYF1
P05777	Influenza A	P15907	ST6GAL1	1	1.7900384664535522	1	1	Sialyltransferase	41309049	Highlighted main example; sialic-acid pathway support rather than a direct protein receptor claim
Q05320	Ebola	O15118	NPC1	18	1.7621212005615234	0	1	Intracellular receptor	26004032	Retained as a top-20 intracellular receptor example
P10211	HSV-1	Q92956	TNFRSF14/HVEM	1	1.8244413137435915	1	1	Alternative receptor	24307582	Highlighted main display example; curated known receptor recovered in top 10
P10211	HSV-1	Q15223	Nectin-1/HVEM	3	1.8219553232192995	1	1	Primary receptor	25320325	Highlighted main display example; curated known receptor recovered in top 10
Q9IH62	Nipah	Q15768	Ephrin-B3	2	1.8061329126358032	1	1	Alternative receptor	17251577	Highlighted main display example; curated known receptor recovered in top 10
Q9IH62	Nipah	P52799	Ephrin-B2	3	1.8048954010009768	1	1	Primary receptor	15998730	Highlighted main display example; curated known receptor recovered in top 10
P04578	HIV-1	P01730	CD4	202	1.4810223579406738	0	1	Primary receptor	11325604	Reported transparently as a lower-ranked limitation; not highlighted in the main display figure
P04578	HIV-1	P51681	CCR5	314	1.306654930114746	0	1	Co-receptor (R5 tropic)	35154162	Reported transparently as a lower-ranked limitation; not highlighted in the main display figure
P04578	HIV-1	P61073	CXCR4	774	0.7883961796760559	0	1	Co-receptor (X4 tropic)	25463598	Reported transparently as a lower-ranked limitation; not highlighted in the main display figure
