rank	uniprot	gene	entry	names	mean_z	z42	z43	z44	rank42	rank43	rank44
1	Q15223	NECTIN1	NECT1_HUMAN	Nectin-1 (Herpes virus entry mediator C) (Herpesvirus entry mediator C) (HveC) (Herpesvirus Ig-like receptor) (HIgR) (Nectin cell adhesion molecule 1) (Poliovirus receptor-related protein 1) (CD antigen CD111)	11.477854	10.659389	12.153337	11.620836	2279	2087	386
2	P08473	MME	NEP_HUMAN	Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10)	11.375859	10.470724	12.102718	11.554134	959	1890	653
3	P00533	EGFR	EGFR_HUMAN	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	10.604547	9.953856	11.132250	10.727536	1906	2102	2882
4	Q8NFZ8	CADM4	CADM4_HUMAN	Cell adhesion molecule 4 (Immunoglobulin superfamily member 4C) (IgSF4C) (Nectin-like protein 4) (NECL-4) (TSLC1-like protein 2)	10.483180	9.247757	11.621514	10.580271	760	2121	2132
5	P11279	LAMP1	LAMP1_HUMAN	Lysosome-associated membrane glycoprotein 1 (LAMP-1) (Lysosome-associated membrane protein 1) (CD107 antigen-like family member A) (CD antigen CD107a)	8.767591	8.110617	9.192184	8.999972	3181	2484	2734
6	P98155	VLDLR	VLDLR_HUMAN	Very low-density lipoprotein receptor (VLDL receptor) (VLDL-R)	8.759576	8.038198	9.472086	8.768445	532	1882	493
7	Q14114	LRP8	LRP8_HUMAN	Low-density lipoprotein receptor-related protein 8 (LRP-8) (Apolipoprotein E receptor 2)	8.371220	8.175833	8.494384	8.443442	816	2658	1082
8	P01130	LDLR	LDLR_HUMAN	Low-density lipoprotein receptor (LDL receptor)	8.031174	7.463566	8.638229	7.991726	2245	2245	1692
9	Q01974	ROR2	ROR2_HUMAN	Tyrosine-protein kinase transmembrane receptor ROR2 (EC 2.7.10.1) (Neurotrophic tyrosine kinase, receptor-related 2)	7.210362	7.001522	7.249119	7.380445	2111	737	1606
10	P08138	NGFR	TNR16_HUMAN	Tumor necrosis factor receptor superfamily member 16 (Gp80-LNGFR) (Low affinity neurotrophin receptor p75NTR) (Low-affinity nerve growth factor receptor) (NGF receptor) (Low-affinity nerve growth factor receptor p75NGFR) (Low-affinity nerve growth factor receptor p75NGR) (p75 ICD) (CD antigen CD271)	7.178571	6.662502	7.488308	7.384903	2925	1753	2898
11	P42892	ECE1	ECE1_HUMAN	Endothelin-converting enzyme 1 (ECE-1) (EC 3.4.24.71)	7.002104	6.528378	7.185579	7.292355	2593	3107	3386
12	Q96NY8	NECTIN4	NECT4_HUMAN	Nectin-4 (Ig superfamily receptor LNIR) (Nectin cell adhesion molecule 4) (Poliovirus receptor-related protein 4) [Cleaved into: Processed poliovirus receptor-related protein 4]	6.930868	6.569529	7.222405	7.000671	3062	1941	3352
13	Q9BRK3	MXRA8	MXRA8_HUMAN	Matrix remodeling-associated protein 8 (Limitrin)	6.678255	6.564947	6.750483	6.719336	2483	2899	3225
14	Q92956	TNFRSF14	TNR14_HUMAN	Tumor necrosis factor receptor superfamily member 14 (Herpes virus entry mediator A) (Herpesvirus entry mediator A) (HveA) (Tumor necrosis factor receptor-like 2) (TR2) (CD antigen CD270)	6.269519	6.075286	6.311680	6.421590	900	260	1561
