viral_id	watch_case	watch_receptors	watch_note	virus_label	family	genus	curated_receptor_label	standard_LOVO56_rank_mean	standard_LOVO56_rank_median	standard_LOVO56_mrr_mean	standard_LOVO56_r10	standard_LOVO56_r50	standard_LOVO56_best_rank_by_seed	standard_LOVO56_receptor_ranks_by_seed	standard_LOVO56_top10_by_seed	virus_genus_holdout_rank_mean	virus_genus_holdout_rank_median	virus_genus_holdout_mrr_mean	virus_genus_holdout_r10	virus_genus_holdout_r50	virus_genus_holdout_best_rank_by_seed	virus_genus_holdout_receptor_ranks_by_seed	virus_genus_holdout_top10_by_seed	virus_family_holdout_rank_mean	virus_family_holdout_rank_median	virus_family_holdout_mrr_mean	virus_family_holdout_r10	virus_family_holdout_r50	virus_family_holdout_best_rank_by_seed	virus_family_holdout_receptor_ranks_by_seed	virus_family_holdout_top10_by_seed	receptor_class_protocols_present	receptor_class_rank_mean	receptor_class_best_rank_by_seed	receptor_class_receptor_ranks_by_seed	temporal_le2023_test2024_2026_rank_mean	temporal_le2023_test2024_2026_rank_median	temporal_le2023_test2024_2026_mrr_mean	temporal_le2023_test2024_2026_r10	temporal_le2023_test2024_2026_r50	temporal_le2023_test2024_2026_best_rank_by_seed	temporal_le2023_test2024_2026_receptor_ranks_by_seed	temporal_le2023_test2024_2026_top10_by_seed
P03423	RSV G / CX3CR1	P49238	RSV-G strict cold-family and GPCR class weak case.	RSV | G protein	Pneumoviridae	Orthopneumovirus	P49238:CX3CR1	1293.3333333333333	1346.0	0.0007768629102803574	0.0	0.0	1171;1346;1363	||	Q685J3;Q9ULI3;P15529;Q8WXI7;P98164;Q96H15;Q9H3R2;P98160;O14798;Q8NBJ4|Q685J3;Q9ULI3;Q8WXI7;P15529;P98155;O14798;Q96H15;Q9H3R2;P98164;P01130|P15529;P02786;Q685J3;Q8N3J6;P98160;Q9ULI3;Q8WXI7;P98164;P98155;O15118	1293.3333333333333	1346.0	0.0007768629102803574	0.0	0.0	1171;1346;1363	P49238:1171|P49238:1346|P49238:1363	Q685J3;Q9ULI3;P15529;Q8WXI7;P98164;Q96H15;Q9H3R2;P98160;O14798;Q8NBJ4|Q685J3;Q9ULI3;Q8WXI7;P15529;P98155;O14798;Q96H15;Q9H3R2;P98164;P01130|P15529;P02786;Q685J3;Q8N3J6;P98160;Q9ULI3;Q8WXI7;P98164;P98155;O15118	1293.3333333333333	1346.0	0.0007768629102803574	0.0	0.0	1171;1346;1363	P49238:1171|P49238:1346|P49238:1363	Q685J3;Q9ULI3;P15529;Q8WXI7;P98164;Q96H15;Q9H3R2;P98160;O14798;Q8NBJ4|Q685J3;Q9ULI3;Q8WXI7;P15529;P98155;O14798;Q96H15;Q9H3R2;P98164;P01130|P15529;P02786;Q685J3;Q8N3J6;P98160;Q9ULI3;Q8WXI7;P98164;P98155;O15118	Chemokine_GPCR	Chemokine_GPCR:1801.0	Chemokine_GPCR:1853;1799;1751	Chemokine_GPCR:P49238:1853|P49238:1799|P49238:1751								
Q8JUX5	CHIKV E3-E2-E1 / MXRA8	Q9BRK3	MXRA8 was separated in IgSF_plus_MXRA8 class holdout.	Chikungunya virus | Structural polyprotein E3-E2-E1	Togaviridae	Alphavirus	Q9BRK3:MXRA8	210.33333333333334	203.0	0.0050230833014623605	0.0	0.0	154;274;203	||	P98155;P01130;Q07954;Q14114;P00533;Q01974;P22897;O60462;Q08174;P08138|P01130;P00533;Q14114;P98155;Q07954;O75096;Q08174;P08138;P08473;Q01974|P01130;P98155;Q07954;Q14114;P00533;O75096;Q9BYF1;Q01974;P98164;Q08174	216.66666666666666	212.0	0.004642069059542072	0.0	0.0	199;212;239	Q9BRK3:199|Q9BRK3:212|Q9BRK3:239	P00533;Q07954;P98155;P01130;Q9BYF1;P98164;Q15223;Q8NFZ8;P08473;P02786|P00533;P01130;O14786;Q9BYF1;Q07954;P98155;O60462;P02786;Q14114;P22897|P00533;Q9BYF1;P01130;Q01974;P98155;Q01973;O15118;P08138;P08473;Q07954	216.66666666666666	212.0	0.004642069059542072	0.0	0.0	199;212;239	Q9BRK3:199|Q9BRK3:212|Q9BRK3:239	P00533;Q07954;P98155;P01130;Q9BYF1;P98164;Q15223;Q8NFZ8;P08473;P02786|P00533;P01130;O14786;Q9BYF1;Q07954;P98155;O60462;P02786;Q14114;P22897|P00533;Q9BYF1;P01130;Q01974;P98155;Q01973;O15118;P08138;P08473;Q07954	IgSF_plus_MXRA8	IgSF_plus_MXRA8:219.3	IgSF_plus_MXRA8:249;138;271	IgSF_plus_MXRA8:Q9BRK3:249|Q9BRK3:138|Q9BRK3:271								
A0A7D0TR32	CVA6 clinical strain / KREMEN1	Q96MU8	Enterovirus KREMEN1/CDHR3 cold genus/family and receptor-class stress test.	Coxsackievirus A6 clinical strain HeB / 54203/HeB/CHN/2012 | Genome polyprotein / mature virion capsid context	Picornaviridae	Enterovirus	Q96MU8:KREMEN1/KRM1	1.6666666666666667	2.0	0.6666666666666666	1.0	1.0	1;2;2	||	Q96MU8;P15151;Q14242;P78310;P16150;Q6ZTQ4;Q6UXD5;P08174;Q9BYF1;Q86YL7|Q14242;Q96MU8;P15151;P08174;Q86YL7;O15118;P16150;P05362;Q8N3J6;Q96D42|Q6ZTQ4;Q96MU8;P08174;Q14242;P01589;Q6UXD5;P15151;Q9BYH1;Q13261;Q86YL7	1182.3333333333333	1112.0	0.0008517957179964569	0.0	0.0	1112;1108;1327	Q96MU8:1112|Q96MU8:1108|Q96MU8:1327	P98155;Q07954;P01130;Q9NS15;Q9UBV2;P02748;P98164;Q8WXI7;Q86YC3;P07357|P98155;P01130;Q07954;P98164;Q9ULI3;Q8WXI7;Q685J3;Q9NS15;O95196;P11717|P01130;P98155;O15118;Q9H3R2;P98164;Q8IZA0;Q96D42;Q8WXI7;Q96H15;P06213	1179.3333333333333	1242.0	0.0008557378077549612	0.0	0.0	1026;1242;1270	Q96MU8:1026|Q96MU8:1242|Q96MU8:1270	P98155;P01130;Q07954;P98164;Q9ULI3;Q8WXI7;Q86YC3;Q685J3;P11717;Q9UBV2|Q9NS15;Q07954;P02748;Q9UBV2;P98155;P07357;P18564;Q8WXI7;P21810;P01130|Q9UBV2;Q07954;P98155;Q9NS15;P02748;P01130;P21810;Q86YC3;Q8WXI7;P98164	KREMEN1_CDHR3	KREMEN1_CDHR3:957.7	KREMEN1_CDHR3:1129;1027;717	KREMEN1_CDHR3:Q96MU8:1129|Q96MU8:1027|Q96MU8:717	1.0	1.0	1.0	1.0	1.0	1;1;1	Q96MU8:1|Q96MU8:1|Q96MU8:1	Q96MU8;P78310;Q14242;Q6UXD5;P08174;Q92956;P30530;Q06418;Q9Y624;O15118|Q96MU8;P15151;P05362;Q9BYH1;Q6UXD5;P08174;Q14242;P78310;P22897;P58335|Q96MU8;Q14242;Q9BYH1;P08174;P78310;Q86YL7;Q6UXD5;O15118;Q9H3R2;Q6ZTQ4
Q6JKR9	CV-A10 Kowalik / KREMEN1	Q96MU8	KREMEN1/CDHR3 class stress test.	Coxsackievirus A10 Kowalik strain | Genome polyprotein / mature virion capsid context	Picornaviridae	Enterovirus	Q96MU8:KREMEN1	2.3333333333333335	2.0	0.5833333333333334	1.0	1.0	4;2;1	||	P15151;P05362;Q9BYH1;Q96MU8;P08174;Q92692;Q6UXD5;P16150;Q14242;P78310|O15118;Q96MU8;Q6ZTQ4;P08174;Q9UHC9;Q14242;Q9BYH1;P78310;Q9BYF1;Q9H3R2|Q96MU8;P05362;P15151;O15118;P08174;Q6ZTQ4;P32942;Q6UXD5;Q9BYH1;Q9UHC9	1150.0	1169.0	0.0008708772710665204	0.0	0.0	1169;1089;1192	Q96MU8:1169|Q96MU8:1089|Q96MU8:1192	P01130;P98155;O15118;Q9H3R2;Q96D42;Q96H15;Q14114;P08581;Q8IZA0;Q9BYF1|O15118;P01130;P98155;Q9H3R2;Q96D42;Q96H15;Q685J3;Q8WXI7;Q8N3J6;P98164|P98155;P01130;P98164;Q07954;Q9ULI3;O95196;P31431;P11717;Q8WXI7;Q685J3	1205.3333333333333	1229.0	0.0008306174305042096	0.0	0.0	1148;1239;1229	Q96MU8:1148|Q96MU8:1239|Q96MU8:1229	Q07954;P98155;Q9UBV2;P01130;Q9NS15;P98164;P02748;P21810;Q86YC3;Q8WXI7|Q07954;Q9UBV2;P98155;Q9NS15;P01130;P02748;Q86YC3;P21810;P98164;P11717|P98155;P01130;P98164;Q07954;Q8WXI7;Q9ULI3;Q685J3;Q9NS15;O95196;P31431	KREMEN1_CDHR3	KREMEN1_CDHR3:1086.0	KREMEN1_CDHR3:779;1195;1284	KREMEN1_CDHR3:Q96MU8:779|Q96MU8:1195|Q96MU8:1284								
P26664	HCV E1/E2 / multi-receptor	P60033;Q8WTV0;O95832;Q16625	Multi-receptor biology; best-positive rank can hide individual weak co-factors.	HCV | E2	Flaviviridae	Hepacivirus	O95832:CLDN1;P60033:CD81;Q16625:OCLN;Q8WTV0:SR-B1/SCARB1	277.6666666666667	257.0	0.0036621314214557075	0.0	0.0	257;330;246	||	Q15223;Q8N2S1;Q07954;Q92823;Q58EX2;Q9HCK4;Q7Z5N4;Q9UIK5;P43146;Q8NFZ8|Q8N2S1;Q07954;Q92823;Q15223;Q9HCK4;Q58EX2;Q7Z5N4;P43489;Q9UIK5;Q8NFZ8|Q07954;P98164;P98155;O75096;Q12913;P01130;Q92823;P05556;Q15223;P08473	277.6666666666667	257.0	0.0036621314214557075	0.0	0.0	257;330;246	O95832:3377;P60033:1876;Q16625:257;Q8WTV0:1493|O95832:3372;P60033:1781;Q16625:330;Q8WTV0:1560|O95832:2167;P60033:246;Q16625:1241;Q8WTV0:2123	Q15223;Q8N2S1;Q07954;Q92823;Q58EX2;Q9HCK4;Q7Z5N4;Q9UIK5;P43146;Q8NFZ8|Q8N2S1;Q07954;Q92823;Q15223;Q9HCK4;Q58EX2;Q7Z5N4;P43489;Q9UIK5;Q8NFZ8|Q07954;P98164;P98155;O75096;Q12913;P01130;Q92823;P05556;Q15223;P08473	223.66666666666666	250.0	0.004765473162460053	0.0	0.0	269;152;250	O95832:2401;P60033:269;Q16625:1189;Q8WTV0:2101|O95832:2112;P60033:152;Q16625:1147;Q8WTV0:1771|O95832:2190;P60033:250;Q16625:1318;Q8WTV0:2107	Q07954;P98155;P98164;P01130;O75096;Q9BYF1;P25942;P15144;P08473;P05556|Q07954;P98164;P98155;O75096;P01130;P08473;Q12913;P15144;P78536;P62079|Q07954;P98155;P98164;P01130;O75096;Q12913;Q9BYF1;P15144;P23468;P25942												
P03527	Reovirus sigma3 / RTN4R	Q9BZR6	RTN4R_LRR singleton receptor-class holdout.	Mammalian orthoreovirus | Outer capsid sigma3	Reoviridae	Orthoreovirus	Q9BZR6:RTN4R/NgR1	1403.0	1510.0	0.0007257982217147982	0.0	0.0	1150;1549;1510	||	P98155;P01130;Q14114;Q07954;O75096;P02786;Q92542;P98164;P22897;O75581|P98155;P01130;Q14114;O75096;P02786;Q07954;Q92542;P22897;O75581;O75197|P98155;P01130;Q07954;Q14114;O75096;P02786;P98164;Q92542;P06756;P17301	1455.0	1412.0	0.0006920176365653409	0.0	0.0	1412;1331;1622	Q9BZR6:1412|Q9BZR6:1331|Q9BZR6:1622	P98155;P01130;Q14114;Q07954;O75096;P02786;P98164;P16671;Q92542;O75581|P98155;P01130;Q14114;Q07954;P02786;O75096;Q92542;P98164;P06756;P22897|P98155;P01130;Q14114;Q07954;O75096;P02786;P22897;P98164;Q92542;P06756	1455.0	1412.0	0.0006920176365653409	0.0	0.0	1412;1331;1622	Q9BZR6:1412|Q9BZR6:1331|Q9BZR6:1622	P98155;P01130;Q14114;Q07954;O75096;P02786;P98164;P16671;Q92542;O75581|P98155;P01130;Q14114;Q07954;P02786;O75096;Q92542;P98164;P06756;P22897|P98155;P01130;Q14114;Q07954;O75096;P02786;P22897;P98164;Q92542;P06756	RTN4R_LRR	RTN4R_LRR:1456.7	RTN4R_LRR:1495;1456;1419	RTN4R_LRR:Q9BZR6:1495|Q9BZR6:1456|Q9BZR6:1419								
P08617	HAV VP1 context / LDLR	P01130	Newer non-enveloped HAV LDLR entry-factor evidence.	Hepatitis A virus HM175 / nonenveloped HAV context | Genome polyprotein / capsid VP1 context	Picornaviridae	Hepatovirus	P01130:LDLR	8.0	5.0	0.15714285714285714	0.6666666666666666	1.0	5;14;5	||	Q8N3J6;Q8NFZ8;P04921;P08174;P01130;Q969X1;O15118;P08138;O95858;P06756|O75056;P18827;Q86YL7;P04921;P51686;P34741;O95858;Q8N3J6;Q9H3R2;Q969X1|Q8NFZ8;P08174;Q8N3J6;Q6UXD5;P01130;Q14114;P08138;P16070;Q15223;Q9Y624	8.0	5.0	0.15714285714285714	0.6666666666666666	1.0	5;14;5	P01130:5|P01130:14|P01130:5	Q8N3J6;Q8NFZ8;P04921;P08174;P01130;Q969X1;O15118;P08138;O95858;P06756|O75056;P18827;Q86YL7;P04921;P51686;P34741;O95858;Q8N3J6;Q9H3R2;Q969X1|Q8NFZ8;P08174;Q8N3J6;Q6UXD5;P01130;Q14114;P08138;P16070;Q15223;Q9Y624	1.0	1.0	1.0	1.0	1.0	1;1;1	P01130:1|P01130:1|P01130:1	P01130;O75096;P98155;O15118;Q07954;P06756;Q14114;P98164;Q969X1;Q8N3J6|P01130;O75096;P98155;Q07954;P98164;O15118;P06756;P62079;Q14114;Q8N3J6|P01130;O75096;P98155;Q07954;O15118;Q8N3J6;P06756;Q14114;P98164;Q9UHC9	LDLR_family	LDLR_family:337.7	LDLR_family:368;241;404	LDLR_family:P01130:368|P01130:241|P01130:404	25.666666666666668	32.0	0.046474358974358976	0.0	1.0	32;13;32	P01130:32|P01130:13|P01130:32	Q6UXD5;P22897;Q9BYH1;Q96NY8;P15151;Q8NFZ8;P08174;Q15768;P04629;O15118|P22897;Q6UXD5;Q9BYH1;P08174;P15151;Q96NY8;P58335;Q8N3J6;Q8NFZ8;Q15768|Q6UXD5;O15118;P58335;Q8N3J6;Q9BYH1;Q96NY8;P08174;P22897;P15151;P78310
P03101	HPV L1 / ITGB4	P16144	Integrin singleton receptor-class holdout; integrins are complex/heterodimer biology.	HPV | L1 capsid	Papillomaviridae	Alphapapillomavirus	P16144:α6β4 integrin	470.6666666666667	473.0	0.0021282383123844045	0.0	0.0	473;446;493	||	P54652;P11021;P50991;B7Z9L0;B7Z2F4;P15880;P48723;Q13438;P05556;O14967|P54652;P11021;P15880;P50991;B7Z9L0;B7Z2F4;P48723;P05556;Q13438;O14967|P54652;P11021;P50991;P15880;B7Z9L0;B7Z2F4;P48723;Q13438;O14967;P03886	415.0	429.0	0.0024224141871200693	0.0	0.0	442;429;374	P16144:442|P16144:429|P16144:374	P54652;P11021;P50991;B7Z9L0;P15880;B7Z2F4;P48723;Q13438;O14967;P03886|P54652;P11021;P15880;P50991;B7Z9L0;B7Z2F4;P48723;Q13438;P05556;P03886|P54652;P11021;P15880;P50991;B7Z9L0;B7Z2F4;P48723;P05556;O14967;Q13438	415.0	429.0	0.0024224141871200693	0.0	0.0	442;429;374	P16144:442|P16144:429|P16144:374	P54652;P11021;P50991;B7Z9L0;P15880;B7Z2F4;P48723;Q13438;O14967;P03886|P54652;P11021;P15880;P50991;B7Z9L0;B7Z2F4;P48723;Q13438;P05556;P03886|P54652;P11021;P15880;P50991;B7Z9L0;B7Z2F4;P48723;P05556;O14967;Q13438	Integrin	Integrin:430.7	Integrin:430;445;417	Integrin:P16144:430|P16144:445|P16144:417								
P03135	AAV2 capsid / FGFR/HSPG/PDGFR	P11362;Q8IZA0;P08581	Multiple attachment/entry factors.	AAV2 | VP1	Parvoviridae	Dependoparvovirus	P08581:MET/HGF receptor;P11362:FGFR1;Q8IZA0:KIAA0319L/AAVR	177.33333333333334	144.0	0.006591710758377425	0.0	0.0	108;144;280	||	P15529;O15118;Q9BYF1;P78310;Q6ZTQ4;Q15223;P08174;Q6UXD5;P58335;P12821|O15118;P15529;Q6ZTQ4;Q9BYF1;P78310;P58335;P98155;P01130;Q15223;Q8NFZ8|P15529;P78310;P51679;Q86YL7;P32246;P51677;O75056;Q07954;P98164;P01130	177.33333333333334	144.0	0.006591710758377425	0.0	0.0	108;144;280	P08581:108;P11362:471;Q8IZA0:924|P08581:144;P11362:378;Q8IZA0:878|P08581:280;P11362:505;Q8IZA0:850	P15529;O15118;Q9BYF1;P78310;Q6ZTQ4;Q15223;P08174;Q6UXD5;P58335;P12821|O15118;P15529;Q6ZTQ4;Q9BYF1;P78310;P58335;P98155;P01130;Q15223;Q8NFZ8|P15529;P78310;P51679;Q86YL7;P32246;P51677;O75056;Q07954;P98164;P01130	177.33333333333334	144.0	0.006591710758377425	0.0	0.0	108;144;280	P08581:108;P11362:471;Q8IZA0:924|P08581:144;P11362:378;Q8IZA0:878|P08581:280;P11362:505;Q8IZA0:850	P15529;O15118;Q9BYF1;P78310;Q6ZTQ4;Q15223;P08174;Q6UXD5;P58335;P12821|O15118;P15529;Q6ZTQ4;Q9BYF1;P78310;P58335;P98155;P01130;Q15223;Q8NFZ8|P15529;P78310;P51679;Q86YL7;P32246;P51677;O75056;Q07954;P98164;P01130												
P0DTC2	SARS-CoV-2 Spike		ACE2 plus cofactor context.	SARS-CoV-2 | Spike (S)	Coronaviridae	Betacoronavirus	O14786:NRP1;O15393:TMPRSS2;Q9BYF1:ACE2	1.0	1.0	1.0	1.0	1.0	1;1;1	||	Q9BYF1;P15144;Q07954;Q07075;P98164;P78310;O75096;Q8NFZ8;Q8N3J6;P12821|Q9BYF1;Q07954;P15144;Q07075;P78310;P98164;Q8NFZ8;O75096;Q8N3J6;O75581|Q9BYF1;P78310;P15144;Q07075;Q07954;P98164;Q8NFZ8;P12821;O75096;O60235	1.0	1.0	1.0	1.0	1.0	1;1;1	O14786:234;O15393:195;Q9BYF1:1|O14786:184;O15393:154;Q9BYF1:1|O14786:325;O15393:202;Q9BYF1:1	Q9BYF1;Q07075;P15144;Q07954;P78310;O75096;Q8NFZ8;Q15223;Q969X1;P98164|Q9BYF1;P78310;Q07954;P15144;Q07075;Q8NFZ8;Q15223;Q9Y624;P98164;Q8N3J6|Q9BYF1;P78310;P15144;Q07075;Q8NFZ8;P00533;Q969X1;Q07954;Q15223;Q9Y624	3.3333333333333335	2.0	0.3888888888888889	1.0	1.0	2;2;6	O14786:75;O15393:91;Q9BYF1:2|O14786:114;O15393:110;Q9BYF1:2|O14786:119;O15393:126;Q9BYF1:6	P78310;Q9BYF1;Q07075;P15144;Q8NFZ8;P00533;Q15223;Q07954;O15118;P16671|Q07954;Q9BYF1;O75096;P78310;O75581;P00533;Q07075;P98155;P15144;Q9Y624|Q07075;P15144;P78310;P00533;Q07954;Q9BYF1;O75581;P98155;O75197;P01130												
